stem,split,selection_id,class,is_mining,source,col,row,mining_pct,preview
BONO_0157,training,157,nonmining,0,random_nonmining,5838,12583,0.0,label_157_nonmining.png
BONO_0165,training,165,nonmining,0,random_nonmining,5129,20470,0.0,label_165_nonmining.png
BONO_0169,training,169,nonmining,0,random_nonmining,10487,7020,0.0,label_169_nonmining.png
BONO_0192,training,192,nonmining,0,random_nonmining,2313,16767,0.0,label_192_nonmining.png
BONO_0197,training,197,nonmining,0,random_nonmining,9325,8519,0.0,label_197_nonmining.png
BONO_0206,training,206,nonmining,0,random_nonmining,8364,3772,0.0,label_206_nonmining.png
BONO_0210,training,210,nonmining,0,random_nonmining,27862,15056,0.0,label_210_nonmining.png
BONO_0212,training,212,nonmining,0,random_nonmining,2512,18473,0.0,label_212_nonmining.png
BONO_0216,training,216,nonmining,0,random_nonmining,22133,9853,0.0,label_216_nonmining.png
BONO_0218,training,218,nonmining,0,random_nonmining,24755,12330,0.0,label_218_nonmining.png
BONO_0222,training,222,nonmining,0,random_nonmining,33549,13120,0.0,label_222_nonmining.png
BONO_0223,training,223,nonmining,0,random_nonmining,17614,13186,0.0,label_223_nonmining.png
BONO_0225,training,225,nonmining,0,random_nonmining,31436,11498,0.0,label_225_nonmining.png
BONO_0226,training,226,nonmining,0,random_nonmining,5170,9000,0.0,label_226_nonmining.png
BONO_0233,training,233,nonmining,0,random_nonmining,26755,11126,0.0,label_233_nonmining.png
BONO_0008,validation,8,nonmining,0,unique_patch,13339,5883,0.0,patch_008_nonmining.png
BONO_0011,validation,11,mining,1,unique_patch,10036,14970,32.086,patch_011_mining.png
BONO_0013,validation,13,mining,1,unique_patch,10035,14904,13.074,patch_013_mining.png
BONO_0018,validation,18,nonmining,0,unique_patch,9693,11999,0.0,patch_018_nonmining.png
BONO_0019,validation,19,mining,1,unique_patch,10287,14424,4.413,patch_019_mining.png
BONO_0030,validation,30,mining,1,unique_patch,1331,19091,10.931,patch_030_mining.png
BONO_0032,validation,32,mining,1,unique_patch,15256,8440,11.658,patch_032_mining.png
BONO_0034,validation,34,mining,1,unique_patch,15282,8341,16.034,patch_034_mining.png
BONO_0036,validation,36,mining,1,unique_patch,15458,8653,8.093,patch_036_mining.png
BONO_0041,validation,41,nonmining,0,unique_patch,11891,7373,0.0,patch_041_nonmining.png
BONO_0164,validation,164,nonmining,0,random_nonmining,23669,9603,0.0,label_164_nonmining.png
BONO_0172,validation,172,nonmining,0,random_nonmining,20340,1294,0.0,label_172_nonmining.png
BONO_0232,validation,232,nonmining,0,random_nonmining,9708,16114,0.0,label_232_nonmining.png
